tconst,averagerating,numvotes,primary_title,original_title,start_year,runtime_minutes,genres,Animation,Sport,Mystery,Action,Comedy,Documentary,Romance,News,War,Horror,Fantasy,Family,Music,Musical,Sci-Fi,History,Biography,Thriller,Crime,Adventure,Drama,id,release_date,title,vote_average,vote_count,Year,category,primary_name,birth_year,death_year
tt1043726,4.2,50352,The Legend of Hercules,The Legend of Hercules,2014,99.0,"Action,Adventure,Fantasy",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,188207,2014-01-10,The Legend of Hercules,4.5,805,2014,writer,Sean Hood,1966.0,
tt1043726,4.2,50352,The Legend of Hercules,The Legend of Hercules,2014,99.0,"Action,Adventure,Fantasy",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,188207,2014-01-10,The Legend of Hercules,4.5,805,2014,writer,Daniel Giat,1955.0,
tt1043726,4.2,50352,The Legend of Hercules,The Legend of Hercules,2014,99.0,"Action,Adventure,Fantasy",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,188207,2014-01-10,The Legend of Hercules,4.5,805,2014,writer,Giulio Steve,,
tt1094666,7.0,1613,The Hammer,Hamill,2010,108.0,"Biography,Drama,Sport",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,74447,2010-10-26,The Hammer,6.5,16,2010,writer,Eben Kostbar,,
tt1094666,7.0,1613,The Hammer,Hamill,2010,108.0,"Biography,Drama,Sport",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,74447,2010-10-26,The Hammer,6.5,16,2010,writer,Joseph McKelheer,,
tt1210166,7.6,326657,Moneyball,Moneyball,2011,133.0,"Biography,Drama,Sport",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,60308,2011-09-22,Moneyball,7.1,2255,2011,writer,Aaron Sorkin,1961.0,
tt1210166,7.6,326657,Moneyball,Moneyball,2011,133.0,"Biography,Drama,Sport",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,60308,2011-09-22,Moneyball,7.1,2255,2011,writer,Steven Zaillian,1953.0,
tt1210166,7.6,326657,Moneyball,Moneyball,2011,133.0,"Biography,Drama,Sport",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,60308,2011-09-22,Moneyball,7.1,2255,2011,writer,Stan Chervin,,
tt1210166,7.6,326657,Moneyball,Moneyball,2011,133.0,"Biography,Drama,Sport",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,60308,2011-09-22,Moneyball,7.1,2255,2011,writer,Michael Lewis,1960.0,
tt1212419,6.5,87288,Hereafter,Hereafter,2010,129.0,"Drama,Fantasy,Romance",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,44603,2010-10-22,Hereafter,5.9,848,2010,writer,Peter Morgan,1963.0,
tt1229238,7.4,428142,Mission: Impossible - Ghost Protocol,Mission: Impossible - Ghost Protocol,2011,132.0,"Action,Adventure,Thriller",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,56292,2011-12-21,Mission: Impossible - Ghost Protocol,7.0,6102,2011,writer,Josh Appelbaum,,
tt1229238,7.4,428142,Mission: Impossible - Ghost Protocol,Mission: Impossible - Ghost Protocol,2011,132.0,"Action,Adventure,Thriller",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,56292,2011-12-21,Mission: Impossible - Ghost Protocol,7.0,6102,2011,writer,André Nemec,,
tt1229238,7.4,428142,Mission: Impossible - Ghost Protocol,Mission: Impossible - Ghost Protocol,2011,132.0,"Action,Adventure,Thriller",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,56292,2011-12-21,Mission: Impossible - Ghost Protocol,7.0,6102,2011,writer,Bruce Geller,1930.0,1978.0
tt1232829,7.2,477771,21 Jump Street,21 Jump Street,2012,109.0,"Action,Comedy,Crime",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,64688,2012-03-12,21 Jump Street,6.8,6527,2012,writer,Stephen J. Cannell,1941.0,2010.0
tt1232829,7.2,477771,21 Jump Street,21 Jump Street,2012,109.0,"Action,Comedy,Crime",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,64688,2012-03-12,21 Jump Street,6.8,6527,2012,writer,Patrick Hasburgh,,
tt1232829,7.2,477771,21 Jump Street,21 Jump Street,2012,109.0,"Action,Comedy,Crime",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,64688,2012-03-12,21 Jump Street,6.8,6527,2012,writer,Michael Bacall,1973.0,
tt1250861,6.2,416,Under the Boardwalk: The Monopoly Story,Under the Boardwalk: The Monopoly Story,2010,88.0,"Documentary,History,Sport",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,86726,2011-03-04,Under the Boardwalk: The Monopoly Story,6.2,14,2011,writer,Craig Bentley,1957.0,
tt1261945,4.4,69199,Sex and the City 2,Sex and the City 2,2010,146.0,"Comedy,Drama,Romance",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37786,2010-05-27,Sex and the City 2,5.9,809,2010,writer,Darren Star,1961.0,
tt1261945,4.4,69199,Sex and the City 2,Sex and the City 2,2010,146.0,"Comedy,Drama,Romance",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37786,2010-05-27,Sex and the City 2,5.9,809,2010,writer,Candace Bushnell,1958.0,
tt1270291,5.8,5728,Hunter Prey,Hunter Prey,2010,88.0,"Sci-Fi,Thriller",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,41360,2010-05-01,Hunter Prey,5.6,51,2010,writer,Nick Damon,,
tt1270761,5.6,44490,Don't Be Afraid of the Dark,Don't Be Afraid of the Dark,2010,99.0,"Fantasy,Horror,Thriller",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,46261,2010-11-06,Don't Be Afraid of the Dark,5.5,550,2010,writer,Guillermo del Toro,1964.0,
tt1270761,5.6,44490,Don't Be Afraid of the Dark,Don't Be Afraid of the Dark,2010,99.0,"Fantasy,Horror,Thriller",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,46261,2010-11-06,Don't Be Afraid of the Dark,5.5,550,2010,writer,Matthew Robbins,1945.0,
tt1270761,5.6,44490,Don't Be Afraid of the Dark,Don't Be Afraid of the Dark,2010,99.0,"Fantasy,Horror,Thriller",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,46261,2010-11-06,Don't Be Afraid of the Dark,5.5,550,2010,writer,Nigel McKeand,,
tt1272886,6.1,6688,Small Apartments,Small Apartments,2012,96.0,"Comedy,Crime,Drama",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,95755,2012-03-10,Small Apartments,5.9,75,2012,writer,Chris Millis,,
tt1322312,6.3,54421,Going the Distance,Going the Distance,2010,102.0,"Comedy,Romance",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38073,2010-09-03,Going the Distance,6.0,394,2010,writer,Geoff LaTulippe,,
tt1331329,3.6,1621,The Final Storm,The Final Storm,2010,92.0,"Action,Horror,Thriller",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,45527,2010-01-01,The Final Storm,4.1,18,2010,writer,Tim McGregor,,
tt1343740,4.6,495,Paradox,Paradox,2010,83.0,"Sci-Fi,Thriller",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,370834,2015-12-05,Paradox,7.0,1,2015,writer,Christos N. Gage,1971.0,
tt1343740,4.6,495,Paradox,Paradox,2010,83.0,"Sci-Fi,Thriller",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,370834,2015-12-05,Paradox,7.0,1,2015,writer,Ruth Fletcher,1967.0,
tt1343740,4.6,495,Paradox,Paradox,2010,83.0,"Sci-Fi,Thriller",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,376292,2016-04-22,Paradox,4.5,65,2016,writer,Christos N. Gage,1971.0,
tt1343740,4.6,495,Paradox,Paradox,2010,83.0,"Sci-Fi,Thriller",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,376292,2016-04-22,Paradox,4.5,65,2016,writer,Ruth Fletcher,1967.0,
tt1343740,4.6,495,Paradox,Paradox,2010,83.0,"Sci-Fi,Thriller",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,502140,2018-03-15,Paradox,3.4,7,2018,writer,Christos N. Gage,1971.0,
tt1343740,4.6,495,Paradox,Paradox,2010,83.0,"Sci-Fi,Thriller",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,502140,2018-03-15,Paradox,3.4,7,2018,writer,Ruth Fletcher,1967.0,
tt7245176,6.6,2471,Paradox,Saat po long: Taam long,2017,101.0,Action,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370834,2015-12-05,Paradox,7.0,1,2015,writer,Lai-Yin Leung,,
tt7245176,6.6,2471,Paradox,Saat po long: Taam long,2017,101.0,Action,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370834,2015-12-05,Paradox,7.0,1,2015,writer,Nick Cheuk,,
