tconst,averagerating_x,numvotes_x,primary_title_x,original_title_x,start_year_x,runtime_minutes_x,genres_x,Animation_x,Sport_x,Mystery_x,Action_x,Comedy_x,Documentary_x,Romance_x,News_x,War_x,Horror_x,Fantasy_x,Family_x,Music_x,Musical_x,Sci-Fi_x,History_x,Biography_x,Thriller_x,Crime_x,Adventure_x,Drama_x,id,release_date,title_x,vote_average_x,vote_count_x,Year_x,category,primary_name,birth_year,death_year,id_x,release_date_x,movie,production_budget,domestic_gross,worldwide_gross,profit,id_y,release_date_y,title_y,vote_average_y,vote_count_y,Year_y,averagerating_y,numvotes_y,primary_title_y,original_title_y,start_year_y,runtime_minutes_y,genres_y,Animation_y,Sport_y,Mystery_y,Action_y,Comedy_y,Documentary_y,Romance_y,News_y,War_y,Horror_y,Fantasy_y,Family_y,Music_y,Musical_y,Sci-Fi_y,History_y,Biography_y,Thriller_y,Crime_y,Adventure_y,Drama_y
tt1043726,4.2,50352,The Legend of Hercules,The Legend of Hercules,2014,99.0,"Action,Adventure,Fantasy",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,188207,2014-01-10,The Legend of Hercules,4.5,805,2014,writer,Sean Hood,1966.0,,42,"Jan 10, 2014",The Legend of Hercules,70000000.0,18848538.0,"$58,953,319",-51151462.0,188207,2014-01-10,The Legend of Hercules,4.5,805,2014,4.2,50352,The Legend of Hercules,The Legend of Hercules,2014,99.0,"Action,Adventure,Fantasy",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
tt1043726,4.2,50352,The Legend of Hercules,The Legend of Hercules,2014,99.0,"Action,Adventure,Fantasy",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,188207,2014-01-10,The Legend of Hercules,4.5,805,2014,writer,Daniel Giat,1955.0,,42,"Jan 10, 2014",The Legend of Hercules,70000000.0,18848538.0,"$58,953,319",-51151462.0,188207,2014-01-10,The Legend of Hercules,4.5,805,2014,4.2,50352,The Legend of Hercules,The Legend of Hercules,2014,99.0,"Action,Adventure,Fantasy",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
tt1043726,4.2,50352,The Legend of Hercules,The Legend of Hercules,2014,99.0,"Action,Adventure,Fantasy",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,188207,2014-01-10,The Legend of Hercules,4.5,805,2014,writer,Giulio Steve,,,42,"Jan 10, 2014",The Legend of Hercules,70000000.0,18848538.0,"$58,953,319",-51151462.0,188207,2014-01-10,The Legend of Hercules,4.5,805,2014,4.2,50352,The Legend of Hercules,The Legend of Hercules,2014,99.0,"Action,Adventure,Fantasy",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
tt1094666,7.0,1613,The Hammer,Hamill,2010,108.0,"Biography,Drama,Sport",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,74447,2010-10-26,The Hammer,6.5,16,2010,writer,Eben Kostbar,,,50,"Mar 21, 2008",The Hammer,850000.0,442638.0,"$442,638",-407362.0,74447,2010-10-26,The Hammer,6.5,16,2010,7.0,1613,The Hammer,Hamill,2010,108.0,"Biography,Drama,Sport",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
tt1094666,7.0,1613,The Hammer,Hamill,2010,108.0,"Biography,Drama,Sport",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,74447,2010-10-26,The Hammer,6.5,16,2010,writer,Joseph McKelheer,,,50,"Mar 21, 2008",The Hammer,850000.0,442638.0,"$442,638",-407362.0,74447,2010-10-26,The Hammer,6.5,16,2010,7.0,1613,The Hammer,Hamill,2010,108.0,"Biography,Drama,Sport",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
tt1210166,7.6,326657,Moneyball,Moneyball,2011,133.0,"Biography,Drama,Sport",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,60308,2011-09-22,Moneyball,7.1,2255,2011,writer,Aaron Sorkin,1961.0,,15,"Sep 23, 2011",Moneyball,50000000.0,75605492.0,"$111,300,835",25605492.0,60308,2011-09-22,Moneyball,7.1,2255,2011,7.6,326657,Moneyball,Moneyball,2011,133.0,"Biography,Drama,Sport",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
tt1210166,7.6,326657,Moneyball,Moneyball,2011,133.0,"Biography,Drama,Sport",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,60308,2011-09-22,Moneyball,7.1,2255,2011,writer,Steven Zaillian,1953.0,,15,"Sep 23, 2011",Moneyball,50000000.0,75605492.0,"$111,300,835",25605492.0,60308,2011-09-22,Moneyball,7.1,2255,2011,7.6,326657,Moneyball,Moneyball,2011,133.0,"Biography,Drama,Sport",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
tt1210166,7.6,326657,Moneyball,Moneyball,2011,133.0,"Biography,Drama,Sport",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,60308,2011-09-22,Moneyball,7.1,2255,2011,writer,Stan Chervin,,,15,"Sep 23, 2011",Moneyball,50000000.0,75605492.0,"$111,300,835",25605492.0,60308,2011-09-22,Moneyball,7.1,2255,2011,7.6,326657,Moneyball,Moneyball,2011,133.0,"Biography,Drama,Sport",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
tt1210166,7.6,326657,Moneyball,Moneyball,2011,133.0,"Biography,Drama,Sport",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,60308,2011-09-22,Moneyball,7.1,2255,2011,writer,Michael Lewis,1960.0,,15,"Sep 23, 2011",Moneyball,50000000.0,75605492.0,"$111,300,835",25605492.0,60308,2011-09-22,Moneyball,7.1,2255,2011,7.6,326657,Moneyball,Moneyball,2011,133.0,"Biography,Drama,Sport",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
tt1212419,6.5,87288,Hereafter,Hereafter,2010,129.0,"Drama,Fantasy,Romance",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,44603,2010-10-22,Hereafter,5.9,848,2010,writer,Peter Morgan,1963.0,,61,"Oct 15, 2010",Hereafter,50000000.0,32746941.0,"$108,660,270",-17253059.0,44603,2010-10-22,Hereafter,5.9,848,2010,6.5,87288,Hereafter,Hereafter,2010,129.0,"Drama,Fantasy,Romance",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
